DistanceType,train_2019,train_5,validation_2019,validation_5,eval_2019,eval_5
Symmetric KL,0.06504414962843938,0.05359897120897819,0.09670604771491367,0.025364711847409765,0.2748776513119463,0.025642102228916233
Modified Kolmogorov-Smirnov,0.22204777434648773,0.15625859043743215,0.2762892640142765,0.10578969729731384,0.48241996206861565,0.06423144802758814
Hellinger,0.09004144459591217,0.08115833317597893,0.10973936268135058,0.05616407970389595,0.18455676858952275,0.056209086901799765
