DistanceType,bonafide_train_5,bonafide_validation_2019,bonafide_validation_5,bonafide_eval_2019,bonafide_eval_5
Symmetric KL,0.5321600568657634,0.007720127887869822,0.3655175693848589,0.009491188732274145,0.3753008702191176
Modified Kolmogorov-Smirnov,0.5612326594322684,0.07502149799360386,0.5118744190275091,0.0849634412093877,0.5366355264069496
Hellinger,0.24821219363890942,0.031014728460564484,0.21157345843403966,0.03441968109418959,0.21495697885037413
